,Datastore,Table,DataElement,SVI_1,DVI_1,AdjR2_1,SVI_2,DVI_2,AdjR2_2,SVI_3,DVI_3,AdjR2_3,SVI_4,DVI_4,AdjR2_4,SVI_5,DVI_5,AdjR2_5,SVI_6,DVI_6,AdjR2_6,SVI_7,DVI_7,AdjR2_7
0,Default,Plan,CO_CODE,4.23893,127.90211,0.18000,3.16594,156.95836,0.18000,2.54641,193.49837,0.18000,2.44264,183.39208,0.18000,4.76955,119.57218,0.18000,8.33358,149.58592,0.18000,12.21590,248.26445,0.18000
1,Default,Plan,CON_PLANCODE,4.24168,127.90211,0.78000,3.16928,156.95836,0.78000,2.55048,193.49837,0.78000,2.44730,183.39208,0.78000,4.77463,119.57218,0.78000,8.33853,149.58592,0.78000,12.22014,248.26445,0.78000
2,Default,Plan,GENDER_1,4.23927,185.61001,0.55000,3.16640,159.54606,0.55000,2.54697,201.51636,0.55000,2.44333,185.09459,0.55000,4.77019,144.16010,0.55000,8.33421,155.05641,0.55000,12.21682,121.00213,0.55000
3,Default,Plan,ISS_YR,4.24384,64.19913,0.42000,3.17149,80.13937,0.42000,2.55260,97.84498,0.42000,2.44941,101.72117,0.42000,4.77694,69.87191,0.42000,8.34153,105.95694,0.42000,12.22444,211.71502,0.42000
4,Default,Plan,DURATION,4.24142,119.31514,0.08000,3.16748,159.54606,0.08000,2.54761,201.51636,0.08000,2.44431,185.09459,0.08000,68.13472,144.16010,0.08000,115.48915,155.05641,0.08000,156.88071,121.00213,0.08000
5,Default,Plan,ISS_AGE_1,4.23919,66.74148,0.43000,3.16644,79.77303,0.43000,2.54712,100.75818,0.43000,2.44350,92.80501,0.43000,4.77023,74.68742,0.43000,8.33437,80.60842,0.43000,12.21685,9.49367,0.43000
6,Default,Plan,ISS_MTH,4.24716,18.29268,0.87000,3.17401,21.13198,0.87000,2.55055,22.95042,0.87000,2.44576,23.76889,0.87000,4.77245,18.29268,0.87000,8.33673,0.00000,0.87000,12.22015,0.00000,0.87000
7,Default,Plan,ISS_DAY,4.23946,18.29268,0.17000,3.16625,21.13198,0.17000,2.54704,22.95042,0.17000,2.44361,23.76889,0.17000,4.77068,18.29268,0.17000,8.33479,0.00000,0.17000,12.21670,0.00000,0.17000
8,Default,Plan,PLAN_TYPE,4.24068,127.90211,0.23000,3.17036,156.95836,0.23000,2.55305,193.49837,0.23000,2.45056,183.39208,0.23000,4.77822,119.57218,0.23000,8.34158,149.58592,0.23000,12.21939,248.26445,0.23000
9,Default,Plan,CON_NUM,4.23904,0.00000,0.75000,3.16618,0.00000,0.75000,2.54679,0.00000,0.75000,2.44294,0.00000,0.75000,4.76966,0.00000,0.75000,8.33363,0.00000,0.75000,12.21586,0.00000,0.75000
10,Default,Plan,REC_TYPE,4.23873,0.00000,0.20000,3.16578,0.00000,0.20000,2.54632,0.00000,0.20000,2.44259,0.00000,0.20000,4.76945,0.00000,0.20000,8.33340,0.00000,0.20000,12.21563,0.00000,0.20000
11,Default,Plan,REC_INFO,4.23890,0.00000,0.02000,3.16617,0.00000,0.02000,2.54689,0.00000,0.02000,2.44327,0.00000,0.02000,4.77020,0.00000,0.02000,8.33410,0.00000,0.02000,12.21595,0.00000,0.02000
12,Default,Plan,CON_STATUS,4.23875,66.74148,0.03000,3.16581,79.77303,0.03000,2.54635,100.75818,0.03000,2.44262,92.80501,0.03000,4.76948,74.68742,0.03000,8.33340,80.60842,0.03000,12.21563,9.49367,0.03000
13,Default,Plan,STATE_CODE,4.24030,66.74148,0.76000,3.16833,79.77303,0.76000,2.54986,100.75818,0.76000,2.44687,92.80501,0.76000,4.77391,74.68742,0.76000,8.33719,80.60842,0.76000,12.21736,9.49367,0.76000
14,Default,Plan,WAIVE_EXP_DED_SW,4.23873,0.00000,0.45000,3.16578,0.00000,0.45000,2.54632,0.00000,0.45000,2.44259,0.00000,0.45000,4.76945,0.00000,0.45000,8.33340,0.00000,0.45000,12.21563,0.00000,0.45000
15,Default,Plan,TOTAL_GROSS_PREM,11.45530,127.90211,0.85000,10.10779,156.95836,0.85000,9.98773,193.49837,0.85000,10.89606,183.39208,0.85000,14.29408,119.57218,0.85000,18.55774,149.58592,0.85000,21.58759,248.26445,0.85000
